18:43:25 | URI: /los-cerignola-api/api/orders | METHOD: POST
18:43:46 | URI: /los-cerignola-api/api/orders?action=delete | METHOD: POST
18:44:13 | URI: /los-cerignola-api/api/orders?action=delete | METHOD: POST
18:44:21 | URI: /los-cerignola-api/api/orders?action=delete | METHOD: POST
18:51:34 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:51:36 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:51:36 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:51:37 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:04 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:05 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:06 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:07 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:08 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:09 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:10 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:10 | URI: /los-cerignola-api/api/loyalty | METHOD: GET
18:52:10 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:11 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:12 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:12 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:13 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:13 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:14 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:14 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:15 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:15 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:16 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:16 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:17 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:17 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:17 | URI: /los-cerignola-api/api/login | METHOD: POST
18:52:18 | URI: /los-cerignola-api/api/loyalty | METHOD: GET
18:52:18 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:18 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:18 | URI: /los-cerignola-api/api/orders | METHOD: GET
